,location,date,vaccine,total_vaccinations
149,Austria,2021-09-24,Moderna,1037018
150,Austria,2021-09-24,Oxford/AstraZeneca,1582154
151,Austria,2021-09-24,Pfizer/BioNTech,7635767
152,Austria,2021-10-01,Johnson&Johnson,319869
153,Austria,2021-10-01,Moderna,1041622
154,Austria,2021-10-01,Oxford/AstraZeneca,1582810
155,Austria,2021-10-01,Pfizer/BioNTech,7719295
156,Austria,2021-10-08,Johnson&Johnson,324191
157,Austria,2021-10-08,Moderna,1047257
158,Austria,2021-10-08,Oxford/AstraZeneca,1583144
159,Austria,2021-10-08,Pfizer/BioNTech,7833224
160,Austria,2021-10-15,Johnson&Johnson,327141
161,Austria,2021-10-15,Moderna,1054109
162,Austria,2021-10-15,Oxford/AstraZeneca,1583435
163,Austria,2021-10-15,Pfizer/BioNTech,7942846
164,Austria,2021-10-22,Johnson&Johnson,330703
165,Austria,2021-10-22,Moderna,1062487
166,Austria,2021-10-22,Oxford/AstraZeneca,1583636
167,Austria,2021-10-22,Pfizer/BioNTech,8071936
168,Austria,2021-10-29,Johnson&Johnson,336340
169,Austria,2021-10-29,Moderna,1069230
170,Austria,2021-10-29,Oxford/AstraZeneca,1583828
171,Austria,2021-10-29,Pfizer/BioNTech,8191150
172,Austria,2021-11-05,Johnson&Johnson,341349
173,Austria,2021-11-05,Moderna,1083155
174,Austria,2021-11-05,Oxford/AstraZeneca,1584037
175,Austria,2021-11-05,Pfizer/BioNTech,8415560
176,Austria,2021-11-12,Johnson&Johnson,346019
177,Austria,2021-11-12,Moderna,1112667
178,Austria,2021-11-12,Oxford/AstraZeneca,1584420
179,Austria,2021-11-12,Pfizer/BioNTech,8848070
180,Austria,2021-11-19,Johnson&Johnson,348978
181,Austria,2021-11-19,Moderna,1157089
182,Austria,2021-11-19,Oxford/AstraZeneca,1584677
183,Austria,2021-11-19,Pfizer/BioNTech,9456865
184,Austria,2021-11-26,Johnson&Johnson,350776
185,Austria,2021-11-26,Moderna,1225454
186,Austria,2021-11-26,Oxford/AstraZeneca,1584923
187,Austria,2021-11-26,Pfizer/BioNTech,10128864
188,Austria,2021-12-03,Johnson&Johnson,352013
189,Austria,2021-12-03,Moderna,1300087
190,Austria,2021-12-03,Oxford/AstraZeneca,1585093
191,Austria,2021-12-03,Pfizer/BioNTech,10757347
192,Austria,2021-12-10,Johnson&Johnson,353310
193,Austria,2021-12-10,Moderna,1370918
194,Austria,2021-12-10,Oxford/AstraZeneca,1585162
195,Austria,2021-12-10,Pfizer/BioNTech,11302277
196,Austria,2021-12-17,Johnson&Johnson,355108
197,Austria,2021-12-17,Moderna,1431494
198,Austria,2021-12-17,Oxford/AstraZeneca,1585202
199,Austria,2021-12-17,Pfizer/BioNTech,11849990
200,Austria,2021-12-24,Johnson&Johnson,356202
201,Austria,2021-12-24,Moderna,1456825
202,Austria,2021-12-24,Oxford/AstraZeneca,1585233
203,Austria,2021-12-24,Pfizer/BioNTech,12095194
204,Austria,2021-12-31,Johnson&Johnson,357629
205,Austria,2021-12-31,Moderna,1473256
206,Austria,2021-12-31,Oxford/AstraZeneca,1585251
207,Austria,2021-12-31,Pfizer/BioNTech,12263597
208,Austria,2022-01-07,Johnson&Johnson,358921
209,Austria,2022-01-07,Moderna,1496485
210,Austria,2022-01-07,Oxford/AstraZeneca,1585258
211,Austria,2022-01-07,Pfizer/BioNTech,12473912
212,Austria,2022-01-14,Johnson&Johnson,359501
213,Austria,2022-01-14,Moderna,1521861
214,Austria,2022-01-14,Oxford/AstraZeneca,1585277
215,Austria,2022-01-14,Pfizer/BioNTech,12728718
216,Austria,2022-01-21,Johnson&Johnson,359904
217,Austria,2022-01-21,Moderna,1538695
218,Austria,2022-01-21,Oxford/AstraZeneca,1585289
219,Austria,2022-01-21,Pfizer/BioNTech,12919522
220,Austria,2022-01-28,Johnson&Johnson,360190
221,Austria,2022-01-28,Moderna,1550043
222,Austria,2022-01-28,Oxford/AstraZeneca,1585305
223,Austria,2022-01-28,Pfizer/BioNTech,13075266
224,Austria,2022-02-04,Johnson&Johnson,360371
225,Austria,2022-02-04,Moderna,1560871
226,Austria,2022-02-04,Oxford/AstraZeneca,1585315
227,Austria,2022-02-04,Pfizer/BioNTech,13234655
228,Austria,2022-02-08,Johnson&Johnson,360407
229,Austria,2022-02-08,Moderna,1562965
230,Austria,2022-02-08,Oxford/AstraZeneca,1585317
231,Austria,2022-02-08,Pfizer/BioNTech,13262202
232,Belgium,2021-01-08,Johnson&Johnson,0
233,Belgium,2021-01-08,Moderna,0
234,Belgium,2021-01-08,Oxford/AstraZeneca,0
235,Belgium,2021-01-08,Pfizer/BioNTech,28289
236,Belgium,2021-01-15,Johnson&Johnson,0
237,Belgium,2021-01-15,Moderna,61
238,Belgium,2021-01-15,Oxford/AstraZeneca,0
239,Belgium,2021-01-15,Pfizer/BioNTech,127492
240,Belgium,2021-01-22,Johnson&Johnson,0
241,Belgium,2021-01-22,Moderna,4569
242,Belgium,2021-01-22,Oxford/AstraZeneca,0
243,Belgium,2021-01-22,Pfizer/BioNTech,245651
244,Belgium,2021-01-29,Johnson&Johnson,0
245,Belgium,2021-01-29,Moderna,6298
